6, 1, 6
 E, 1, 2, 7
 E, 1, 4, 7
 E, 1, 6, 9
 E, 2, 3, 5
 E, 2, 5, 10
 E, 2, 6, 3
 E, 3, 1, 9
 E, 3, 2, 10
 E, 3, 4, 8
 E, 3, 5, 4
 E, 3, 6, 6
 E, 4, 1, 9
 E, 4, 2, 4
 E, 4, 3, 2
 E, 5, 1, 3
 E, 5, 2, 5
 E, 5, 3, 10
 E, 5, 4, 10
 E, 6, 2, 5
 E, 6, 3, 8
 E, 6, 4, 10
 F, 1, 2, 9
 F, 1, 3, 11
 F, 1, 4, 12
 F, 1, 5, 8
 F, 1, 6, 12
 F, 2, 1, 18
 F, 2, 3, 15
 F, 2, 4, 10
 F, 2, 5, 17
 F, 2, 6, 18
 F, 3, 1, 17
 F, 3, 2, 18
 F, 3, 4, 14
 F, 3, 5, 10
 F, 3, 6, 10
 F, 4, 1, 17
 F, 4, 2, 8
 F, 4, 3, 10
 F, 4, 5, 17
 F, 4, 6, 18
 F, 5, 1, 15
 F, 5, 2, 9
 F, 5, 3, 12
 F, 5, 4, 14
 F, 5, 6, 16
 F, 6, 1, 18
 F, 6, 2, 16
 F, 6, 3, 15
 F, 6, 4, 8
 F, 6, 5, 9
 C, 1, 2, 14
 C, 1, 4, 38
 C, 1, 6, 19
 C, 2, 3, 65
 C, 2, 5, 5
 C, 2, 6, 57
 C, 3, 1, 5
 C, 3, 2, 5
 C, 3, 4, 25
 C, 3, 5, 136
 C, 3, 6, 7
 C, 4, 1, 15
 C, 4, 2, 31
 C, 4, 3, 47
 C, 5, 1, 72
 C, 5, 2, 41
 C, 5, 3, 9
 C, 5, 4, 19
 C, 6, 2, 19
 C, 6, 3, 39
 C, 6, 4, 13
